dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,163.096046,5264.240022,0.003657,0.365678,18.283905,914.195234,6.281998
0.020000,163.096046,5264.240022,0.018284,1.097034,36.567809,914.195234,6.282002
0.020000,163.096046,5264.240022,0.051195,2.194069,54.851714,914.195234,6.282011
0.020000,163.096046,5264.240022,0.109703,3.656781,73.135619,914.195234,6.282027
0.020000,163.096046,5264.240022,0.201123,5.485171,91.419523,914.195234,6.282052
0.020000,163.096046,5264.240022,0.332767,7.679240,109.703428,914.195234,6.282089
0.020000,163.096046,5264.240022,0.511949,10.238987,127.987333,914.195234,6.282138
0.020000,163.096046,5264.240022,0.745983,13.164411,146.271237,914.195234,6.282202
0.020000,163.096046,5264.240022,1.042183,16.455514,164.555142,914.195234,6.282284
0.020000,163.096046,5264.240022,1.407861,20.112295,182.839047,914.195234,6.282384
0.020000,163.096046,5264.240022,1.846674,23.769076,182.839047,0.000000,6.282505
0.020000,163.096046,5264.240022,2.358624,27.425857,182.839047,0.000000,6.282646
0.020000,163.096046,5264.240022,2.943709,31.082638,182.839047,0.000000,6.282807
0.020000,163.096046,5264.240022,3.601929,34.739419,182.839047,-0.000000,6.282988
0.020000,163.109276,5264.240022,4.333285,38.396200,182.839047,0.000000,0.000004
0.020000,163.913954,5264.240114,5.137777,42.052981,182.839047,0.000000,0.000225
0.020000,164.791686,5264.240418,6.015405,45.709762,182.839047,0.000000,0.000466
0.020000,165.742448,5264.240986,6.966168,49.366543,182.839047,0.000000,0.000728
0.020000,166.766210,5264.241875,7.990066,53.023324,182.839047,-0.000000,0.001010
0.020000,167.863200,5264.243149,9.087101,56.680105,182.839047,0.000000,0.001312
0.020000,169.033543,5264.244873,10.257271,60.336885,182.839047,-0.000000,0.001634
0.020000,170.276833,5264.247117,11.500576,63.993666,182.839047,0.000000,0.001976
0.020000,171.593033,5264.249957,12.817017,67.650447,182.839047,-0.000000,0.002339
0.020000,172.982820,5264.253474,14.206594,71.307228,182.839047,0.000000,0.002722
0.020000,174.445560,5264.257750,15.669306,74.964009,182.839047,0.000000,0.003125
0.020000,175.981130,5264.262873,17.205154,78.620790,182.839047,-0.000000,0.003548
0.020000,177.590366,5264.268940,18.814138,82.277571,182.839047,0.000000,0.003992
