dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,162.309485,4601.740489,0.003657,0.365678,18.283905,914.195234,6.281998
0.020000,162.312151,4601.740486,0.006322,0.133264,-11.620713,-1495.230889,6.282002
0.020000,162.318148,4601.740479,0.012319,0.299844,8.329000,997.485655,6.282011
0.020000,162.328809,4601.740467,0.022980,0.533056,11.660629,166.581470,6.282027
0.020000,162.345467,4601.740448,0.039638,0.832902,14.992304,166.583724,6.282052
0.020000,162.369454,4601.740421,0.063626,1.199384,18.324052,166.587409,6.282089
0.020000,162.402104,4601.740386,0.096276,1.632502,21.655910,166.592876,6.282138
0.020000,162.444750,4601.740343,0.138921,2.132260,24.987919,166.600467,6.282202
0.020000,162.498723,4601.740292,0.192894,2.698663,28.320129,166.610515,6.282284
0.020000,162.565357,4601.740235,0.259529,3.331715,31.652596,166.623336,6.282384
0.020000,162.645319,4601.740176,0.339491,3.998104,33.319493,83.344850,6.282505
0.020000,162.738610,4601.740119,0.432781,4.664520,33.320762,0.063434,6.282646
0.020000,162.845229,4601.740070,0.539400,5.330964,33.322232,0.073532,6.282807
0.020000,162.965178,4601.740035,0.659349,5.997442,33.323900,0.083410,6.282988
0.020000,163.111687,4601.740022,0.805859,7.325492,66.402482,1653.929067,0.000004
0.020000,164.063017,4601.740131,1.757189,47.566500,2012.050405,97282.396149,0.000225
0.020000,165.100738,4601.740490,2.794909,51.886019,215.975965,-89803.722015,0.000466
0.020000,166.224824,4601.741161,3.918996,56.204313,215.914679,-3.064286,0.000728
0.020000,167.435249,4601.742213,5.129421,60.521280,215.848337,-3.317088,0.001010
0.020000,168.732287,4601.743719,6.426461,64.851969,216.534454,34.305826,0.001312
0.020000,170.116093,4601.745757,7.810268,69.190375,216.920308,19.292717,0.001634
0.020000,171.586195,4601.748411,9.280372,73.505218,215.742136,-58.908585,0.001976
0.020000,173.142558,4601.751769,10.836739,77.818330,215.655603,-4.326658,0.002339
0.020000,174.785989,4601.755928,12.480175,82.171785,217.672765,100.858109,0.002722
0.020000,176.515746,4601.760984,14.209940,86.488245,215.823017,-92.487410,0.003125
0.020000,178.331697,4601.767043,16.025900,90.798015,215.488496,-16.726055,0.003548
0.020000,180.234835,4601.774217,17.929052,95.157576,217.978053,124.477858,0.003992
0.020000,182.224168,4601.782620,19.918403,99.467575,215.499949,-123.905195,0.004455
0.020000,184.300057,4601.792371,21.994315,103.795580,216.400238,45.014432,0.004940
0.020000,186.462777,4601.803600,24.157064,108.137446,217.093290,34.652615,0.005444
0.020000,188.711610,4601.816433,26.405934,112.443508,215.303104,-89.509320,0.005969
0.020000,191.047701,4601.831013,28.742069,116.806785,218.163834,143.036537,0.006514
0.020000,193.469782,4601.847476,31.164206,121.106846,215.003057,-158.038851,0.007079
0.020000,195.979080,4601.865976,33.673573,125.468346,218.075029,153.598562,0.007665
0.020000,198.574427,4601.886657,36.269003,129.771482,215.156768,-145.913043,0.008272
0.020000,201.257018,4601.909687,38.951693,134.134490,218.150415,149.682373,0.008898
0.020000,204.025653,4601.935220,41.720445,138.437638,215.157380,-149.651772,0.009545
0.020000,206.881579,4601.963435,44.576510,142.803249,218.280552,156.158630,0.010213
0.020000,209.823737,4601.994497,47.518832,147.116076,215.641375,-131.958891,0.010901
0.020000,212.852787,4602.028592,50.548074,151.462124,217.302374,83.049975,0.011610
0.020000,215.968561,4602.065902,53.664072,155.799861,216.886873,-20.775061,0.012339
0.020000,219.170650,4602.106615,56.866419,160.117390,215.876455,-50.520914,0.013088
0.020000,222.460092,4602.150938,60.156160,164.487024,218.481674,130.260962,0.013859
0.020000,225.835948,4602.199061,63.532359,168.809959,216.146764,-116.745499,0.014650
0.020000,229.298259,4602.251191,66.995063,173.135185,216.261322,5.727901,0.015461
0.020000,232.847919,4602.307554,70.545170,177.505354,218.508448,112.356328,0.016293
0.020000,236.484099,4602.368354,74.181859,181.834433,216.453936,-102.725637,0.017146
0.020000,240.206849,4602.433817,77.905183,186.166236,216.590151,6.810761,0.018019
0.020000,244.016485,4602.504174,81.715469,190.514289,217.402644,40.624679,0.018913
0.020000,247.913155,4602.579666,85.612871,194.870076,217.789354,19.335487,0.019828
0.020000,251.896481,4602.660523,89.597017,199.207343,216.863344,-46.300511,0.020764
0.020000,255.966504,4602.746992,93.667958,203.547051,216.985410,6.103281,0.021720
0.020000,260.123260,4602.839325,97.825740,207.889065,217.100708,5.764903,0.022698
0.020000,264.366997,4602.937783,102.070619,212.243971,217.745297,32.229464,0.023696
0.020000,268.697709,4603.042629,106.402600,216.599023,217.752585,0.364428,0.024715
0.020000,273.115195,4603.154127,110.821492,220.944631,217.280383,-23.610111,0.025755
0.020000,277.619479,4603.272549,115.327333,225.292027,217.369824,4.472017,0.026815
0.020000,282.210582,4603.398175,119.920154,229.641079,217.452584,4.138029,0.027897
0.020000,286.888521,4603.531291,124.599987,233.991652,217.528684,3.805012,0.029000
0.020000,291.653311,4603.672187,129.366860,238.343615,217.598145,3.473029,0.030123
0.020000,296.504961,4603.821159,134.220796,242.696835,217.660988,3.142140,0.031268
0.020000,301.443478,4603.978509,139.161820,247.051180,217.717236,2.812405,0.032434
0.020000,306.468867,4604.144544,144.189950,251.406518,217.766914,2.483884,0.033621
0.020000,311.581126,4604.319578,149.305205,255.762719,217.810046,2.156637,0.034829
0.020000,316.780251,4604.503928,154.507598,260.119652,217.846661,1.830724,0.036058
0.020000,322.066237,4604.697920,159.797142,264.477188,217.876785,1.506203,0.037308
0.020000,327.439071,4604.901882,165.173845,268.835197,217.900448,1.183133,0.038579
0.020000,332.898739,4605.116150,170.637716,273.193550,217.917679,0.861572,0.039872
0.020000,338.445223,4605.341065,176.188759,277.552121,217.928511,0.541577,0.041186
0.020000,344.078501,4605.576972,181.826975,281.910780,217.932975,0.223205,0.042521
0.020000,349.798548,4605.824225,187.552363,286.269402,217.931105,-0.093488,0.043877
0.020000,355.605419,4606.083183,193.365005,290.632145,218.137143,10.301899,0.045254
0.020000,361.499358,4606.354223,199.265173,295.008364,218.810960,33.690878,0.046653
0.020000,367.480008,4606.637700,205.252537,299.368230,217.993285,-40.883781,0.048074
0.020000,373.547329,4606.933986,211.327088,303.727535,217.965249,-1.401772,0.049515
0.020000,379.701275,4607.243462,217.488811,308.086156,217.931059,-1.709494,0.050978
0.020000,385.942026,4607.566524,223.737919,312.455383,218.461333,26.513669,0.052463
0.020000,392.269734,4607.903575,230.074597,316.833895,218.925594,23.213068,0.053968
0.020000,398.683949,4608.254989,236.498431,321.191717,217.891103,-51.724568,0.055496
0.020000,405.184611,4608.621167,243.009398,325.548347,217.831495,-2.980387,0.057044
0.020000,411.772299,4609.002555,249.608117,329.935970,219.381177,77.484092,0.058615
0.020000,418.446478,4609.399537,256.294092,334.298747,218.138844,-62.116649,0.060206
0.020000,425.206935,4609.812524,263.067152,338.652969,217.711103,-21.387056,0.061819
0.020000,432.054397,4610.241988,269.928068,343.045831,219.643109,96.600319,0.063454
0.020000,438.988114,4610.688317,276.876135,347.403342,217.875557,-88.377610,0.065110
0.020000,446.008232,4611.151961,283.911547,351.770615,218.363611,24.402706,0.066788
0.020000,453.115015,4611.633381,291.034618,356.153531,219.145824,39.110652,0.068487
0.020000,460.307763,4612.132984,298.244696,360.503876,217.517235,-81.429452,0.070208
0.020000,467.587380,4612.651289,305.542742,364.902295,219.920931,120.184782,0.071951
0.020000,474.952750,4613.188679,312.927689,369.247398,217.255182,-133.287445,0.073715
0.020000,482.404864,4613.745697,320.400592,373.645109,219.885519,131.516854,0.075500
0.020000,489.942608,4614.322735,327.960390,377.989935,217.241335,-132.209221,0.077308
0.020000,497.567032,4614.920352,335.608201,382.390507,220.028595,139.363039,0.079137
0.020000,505.277045,4615.538951,343.342989,386.739448,217.447040,-129.077791,0.080987
0.020000,513.073367,4616.179081,351.165546,391.127848,219.419982,98.647143,0.082859
0.020000,520.955438,4616.841194,359.075379,395.491611,218.188168,-61.590700,0.084753
0.020000,528.923258,4617.525794,367.072555,399.858806,218.359741,8.578625,0.086668
0.020000,536.977128,4618.233416,375.157451,404.244820,219.300721,47.048995,0.088605
0.020000,545.116403,4618.964519,383.329496,408.602239,217.870964,-71.487851,0.090563
0.020000,553.341367,4619.719649,391.589051,412.977769,218.776465,45.275040,0.092543
0.020000,561.652003,4620.499331,399.936181,417.356466,218.934840,7.918778,0.094544
0.020000,570.047866,4621.304055,408.370521,421.716998,218.026633,-45.410360,0.096567
0.020000,578.528933,4622.134356,416.892134,426.080679,218.184027,7.869696,0.098612
0.020000,587.095603,4622.990817,425.501511,430.468824,219.407259,61.161598,0.100678
0.020000,595.747260,4623.873926,434.198122,434.830585,218.088071,-65.959414,0.102765
0.020000,604.483827,4624.784229,442.981985,439.193144,218.127940,1.993483,0.104874
0.020000,613.305217,4625.722276,451.853111,443.556265,218.156026,1.404297,0.107005
0.020000,622.211512,4626.688641,460.811679,447.928407,218.607099,22.553628,0.109157
0.020000,631.202578,4627.683882,469.857660,452.299085,218.533913,-3.659295,0.111330
0.020000,640.278123,4628.708542,478.990866,456.660280,218.059759,-23.707690,0.113525
0.020000,649.438032,4629.763189,488.211289,461.021157,218.043853,-0.795276,0.115741
0.020000,658.682181,4630.848397,497.518919,465.381488,218.016531,-1.366146,0.117978
0.020000,668.010441,4631.964741,506.913740,469.741045,217.977871,-1.932981,0.120236
0.020000,677.422674,4633.112803,516.395732,474.099604,217.927958,-2.495640,0.122516
0.020000,686.918734,4634.293167,525.964871,478.456942,217.866878,-3.053987,0.124816
0.020000,696.498468,4635.506422,535.621127,482.812836,217.794721,-3.607886,0.127138
0.020000,706.161715,4636.753160,545.364469,487.167068,217.711577,-4.157201,0.129481
0.020000,715.908307,4638.033978,555.194857,491.519419,217.617541,-4.701801,0.131845
0.020000,725.738066,4639.349474,565.112251,495.869673,217.512709,-5.241557,0.134230
0.020000,735.650808,4640.700252,575.116603,500.217616,217.397183,-5.776338,0.136636
0.020000,745.646342,4642.086918,585.207864,504.563038,217.271062,-6.306020,0.139062
0.020000,755.724468,4643.510082,595.385978,508.905727,217.134453,-6.830477,0.141509
0.020000,765.884978,4644.970355,605.650888,513.245476,216.987461,-7.349589,0.143977
0.020000,776.127658,4646.468354,616.002529,517.582080,216.830196,-7.863234,0.146465
0.020000,786.452284,4648.004696,626.440836,521.915335,216.662770,-8.371297,0.148974
0.020000,796.858717,4649.580016,636.965829,526.249672,216.716811,2.702006,0.151503
0.020000,807.346862,4651.194961,647.577579,530.587484,216.890600,8.689466,0.154053
0.020000,817.916265,4652.850124,658.275796,534.910833,216.167461,-36.156953,0.156623
0.020000,828.566671,4654.546134,669.060396,539.229996,215.958180,-10.464058,0.159213
0.020000,839.297817,4656.283622,679.931291,543.544783,215.739340,-10.941995,0.161823
0.020000,850.109783,4658.063276,690.888745,547.872657,216.393701,32.718068,0.164452
0.020000,861.002057,4659.885693,701.932423,552.183912,215.562732,-41.548473,0.167102
0.020000,871.974260,4661.751495,713.062134,556.485538,215.081286,-24.072266,0.169771
0.020000,883.026334,4663.661359,724.278011,560.793875,215.416863,16.778817,0.172460
0.020000,894.158046,4665.615937,735.580019,565.100413,215.326909,-4.497666,0.175169
0.020000,905.368803,4667.615820,746.967759,569.386964,214.327561,-49.967434,0.177896
